[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertYouTubeVideo.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\InsertYouTube_bg.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\CMSPlugins\images\QuicklyInsertImage.gif
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\colordialog\dialogs\colordialog.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\plugin.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\bg.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\cs.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\cy.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\da.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\de.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\el.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\en.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\eo.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\et.js
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\CMSAdminControls\CKeditor\plugins\devtools\lang\fa.js
